season,candidate_id,candidate_name,team,position,known_at,source_url,reason,eligible
2026,00-0033873,Patrick Mahomes,KC,QB,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Knee ligament injury,True
2026,00-0035710,Daniel Jones,IND,QB,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Achilles injury,True
2026,00-0035228,Kyler Murray,MIN,QB,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Foot injury,True
2026,00-0039910,Jayden Daniels,WAS,QB,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Multiple injuries,True
2026,00-0036932,Micah Parsons,GB,LB,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Knee ligament injury,True
2026,00-0039917,Michael Penix Jr.,ATL,QB,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Knee ligament injury,True
2026,00-0038977,Tank Dell,HOU,WR,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Severe knee injury,True
2026,00-0035717,Nick Bosa,SF,DL,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Knee ligament injury,True
2026,00-0040718,Travis Hunter,JAX,WR,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Knee ligament injury,True
2026,00-0033288,George Kittle,SF,TE,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Achilles injury,True
2026,00-0038996,Tucker Kraft,GB,TE,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Knee ligament injury,True
2026,00-0039923,J.J. McCarthy,MIN,QB,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Multiple injuries,True
2026,00-0039337,Malik Nabers,NYG,WR,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Knee ligament injury,True
2026,00-0040715,Cam Skattebo,NYG,RB,2026-09-02T00:00:00Z,https://amp.nfl.com/news/2026-nfl-season-top-10-contenders-for-comeback-player-of-the-year-2-0,Ankle fracture,True
